Ending Value,Non-permanent resident types,Non-PR greater than 52000,Period,Province,Quarters,Start Value,Years,Increase in Permit Holders,Max_NonPR_Type,Total Work Permit Holders,Values
,Study permit holders only,,2024-01-01QQ1,Yukon,Q1,,01-01-2024,,255,255,255
,Work and study permit holders,,2024-01-01QQ1,Yukon,Q1,,01-01-2024,,57,57,57
,Other,,2024-01-01QQ1,Yukon,Q1,,01-01-2024,,35,35,35
,"Total, non-permanent residents",,2024-01-01QQ1,Northwest Territories,Q1,,01-01-2024,,732,732,732
,"Total, asylum claimants, protected persons and related groups ",,2024-01-01QQ1,Northwest Territories,Q1,,01-01-2024,,5,5,5
,"Asylum claimants, protected persons and related groups with work permit only",,2024-01-01QQ1,Northwest Territories,Q1,,01-01-2024,,3,3,3
,"Asylum claimants, protected persons and related groups with study permit only",,2024-01-01QQ1,Northwest Territories,Q1,,01-01-2024,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2024-01-01QQ1,Northwest Territories,Q1,,01-01-2024,,0,0,0
,"Asylum claimants, protected persons and related groups without work or study permits",,2024-01-01QQ1,Northwest Territories,Q1,,01-01-2024,,2,2,2
,"Total, permit holders and their family members",,2024-01-01QQ1,Northwest Territories,Q1,,01-01-2024,,727,727,727
,Work permit holders only,,2024-01-01QQ1,Northwest Territories,Q1,,01-01-2024,,648,648,648
,Study permit holders only,,2024-01-01QQ1,Northwest Territories,Q1,,01-01-2024,,48,48,48
,Work and study permit holders,,2024-01-01QQ1,Northwest Territories,Q1,,01-01-2024,,11,11,11
,Other,,2024-01-01QQ1,Northwest Territories,Q1,,01-01-2024,,20,20,20
,"Total, non-permanent residents",,2024-01-01QQ1,Nunavat,Q1,,01-01-2024,,154,154,154
,"Total, asylum claimants, protected persons and related groups ",,2024-01-01QQ1,Nunavat,Q1,,01-01-2024,,5,5,5
,"Asylum claimants, protected persons and related groups with work permit only",,2024-01-01QQ1,Nunavat,Q1,,01-01-2024,,3,3,3
,"Asylum claimants, protected persons and related groups with study permit only",,2024-01-01QQ1,Nunavat,Q1,,01-01-2024,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2024-01-01QQ1,Nunavat,Q1,,01-01-2024,,0,0,0
,"Asylum claimants, protected persons and related groups without work or study permits",,2024-01-01QQ1,Nunavat,Q1,,01-01-2024,,2,2,2
,"Total, permit holders and their family members",,2024-01-01QQ1,Nunavat,Q1,,01-01-2024,,149,149,149
,Work permit holders only,,2024-01-01QQ1,Nunavat,Q1,,01-01-2024,,126,126,126
,Study permit holders only,,2024-01-01QQ1,Nunavat,Q1,,01-01-2024,,7,7,7
,Work and study permit holders,,2024-01-01QQ1,Nunavat,Q1,,01-01-2024,,2,2,2
,Other,,2024-01-01QQ1,Nunavat,Q1,,01-01-2024,,14,14,14
,"Total, non-permanent residents","Total, non-permanent residents",2024-01-01QQ2,Ontario,Q2,,01-01-2024,,1250460,1250460,1250460
,"Total, asylum claimants, protected persons and related groups ","Total, asylum claimants, protected persons and related groups ",2024-01-01QQ2,Ontario,Q2,,01-01-2024,,141727,141727,141727
,"Asylum claimants, protected persons and related groups with work permit only","Asylum claimants, protected persons and related groups with work permit only",2024-01-01QQ2,Ontario,Q2,,01-01-2024,,79504,79504,79504
,"Asylum claimants, protected persons and related groups with study permit only",,2024-01-01QQ2,Ontario,Q2,,01-01-2024,,1834,1834,1834
,"Asylum claimants, protected persons and related groups with work and study permits",,2024-01-01QQ2,Ontario,Q2,,01-01-2024,,6278,6278,6278
,"Asylum claimants, protected persons and related groups without work or study permits","Asylum claimants, protected persons and related groups without work or study permits",2024-01-01QQ2,Ontario,Q2,,01-01-2024,,54111,54111,54111
,"Total, permit holders and their family members","Total, permit holders and their family members",2024-01-01QQ2,Ontario,Q2,,01-01-2024,,1108733,1108733,1108733
,Work permit holders only,Work permit holders only,2024-01-01QQ2,Ontario,Q2,,01-01-2024,,557590,557590,557590
,Study permit holders only,Study permit holders only,2024-01-01QQ2,Ontario,Q2,,01-01-2024,,319989,319989,319989
,Work and study permit holders,Work and study permit holders,2024-01-01QQ2,Ontario,Q2,,01-01-2024,,190878,190878,190878
,Other,,2024-01-01QQ2,Ontario,Q2,,01-01-2024,,40276,40276,40276
,"Total, non-permanent residents","Total, non-permanent residents",2024-01-01QQ2,British Columbia,Q2,,01-01-2024,,501050,501050,501050
,"Total, asylum claimants, protected persons and related groups ",,2024-01-01QQ2,British Columbia,Q2,,01-01-2024,,16837,16837,16837
,"Asylum claimants, protected persons and related groups with work permit only",,2024-01-01QQ2,British Columbia,Q2,,01-01-2024,,10931,10931,10931
,"Asylum claimants, protected persons and related groups with study permit only",,2024-01-01QQ2,British Columbia,Q2,,01-01-2024,,221,221,221
,"Asylum claimants, protected persons and related groups with work and study permits",,2024-01-01QQ2,British Columbia,Q2,,01-01-2024,,881,881,881
,"Asylum claimants, protected persons and related groups without work or study permits",,2024-01-01QQ2,British Columbia,Q2,,01-01-2024,,4804,4804,4804
,"Total, permit holders and their family members","Total, permit holders and their family members",2024-01-01QQ2,British Columbia,Q2,,01-01-2024,,484213,484213,484213
,Work permit holders only,Work permit holders only,2024-01-01QQ2,British Columbia,Q2,,01-01-2024,,259777,259777,259777
,Study permit holders only,Study permit holders only,2024-01-01QQ2,British Columbia,Q2,,01-01-2024,,152943,152943,152943
,Work and study permit holders,,2024-01-01QQ2,British Columbia,Q2,,01-01-2024,,51359,51359,51359
,Other,,2024-01-01QQ2,British Columbia,Q2,,01-01-2024,,20134,20134,20134
,"Total, non-permanent residents","Total, non-permanent residents",2024-01-01QQ2,Alberta,Q2,,01-01-2024,,216406,216406,216406
,"Total, asylum claimants, protected persons and related groups ",,2024-01-01QQ2,Alberta,Q2,,01-01-2024,,11292,11292,11292
,"Asylum claimants, protected persons and related groups with work permit only",,2024-01-01QQ2,Alberta,Q2,,01-01-2024,,7377,7377,7377
,"Asylum claimants, protected persons and related groups with study permit only",,2024-01-01QQ2,Alberta,Q2,,01-01-2024,,93,93,93
,"Asylum claimants, protected persons and related groups with work and study permits",,2024-01-01QQ2,Alberta,Q2,,01-01-2024,,497,497,497
,"Asylum claimants, protected persons and related groups without work or study permits",,2024-01-01QQ2,Alberta,Q2,,01-01-2024,,3325,3325,3325
,"Total, permit holders and their family members","Total, permit holders and their family members",2024-01-01QQ2,Alberta,Q2,,01-01-2024,,205114,205114,205114
,Work permit holders only,Work permit holders only,2024-01-01QQ2,Alberta,Q2,,01-01-2024,,131206,131206,131206
,Study permit holders only,,2024-01-01QQ2,Alberta,Q2,,01-01-2024,,46070,46070,46070
,Work and study permit holders,,2024-01-01QQ2,Alberta,Q2,,01-01-2024,,17369,17369,17369
,Other,,2024-01-01QQ2,Alberta,Q2,,01-01-2024,,10469,10469,10469
,"Total, non-permanent residents",,2024-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2024,,14821,14821,14821
,"Total, asylum claimants, protected persons and related groups ",,2024-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2024,,108,108,108
,"Asylum claimants, protected persons and related groups with work permit only",,2024-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2024,,58,58,58
,"Asylum claimants, protected persons and related groups with study permit only",,2024-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2024,,3,3,3
,"Asylum claimants, protected persons and related groups with work and study permits",,2024-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2024,,8,8,8
,"Asylum claimants, protected persons and related groups without work or study permits",,2024-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2024,,39,39,39
,"Total, permit holders and their family members",,2024-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2024,,14713,14713,14713
,Work permit holders only,,2024-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2024,,7324,7324,7324
,Study permit holders only,,2024-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2024,,4987,4987,4987
,Work and study permit holders,,2024-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2024,,1734,1734,1734
,Other,,2024-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2024,,668,668,668
,"Total, non-permanent residents",,2024-01-01QQ2,Prince Edward Island,Q2,,01-01-2024,,10799,10799,10799
,"Total, asylum claimants, protected persons and related groups ",,2024-01-01QQ2,Prince Edward Island,Q2,,01-01-2024,,32,32,32
,"Asylum claimants, protected persons and related groups with work permit only",,2024-01-01QQ2,Prince Edward Island,Q2,,01-01-2024,,17,17,17
,"Asylum claimants, protected persons and related groups with study permit only",,2024-01-01QQ2,Prince Edward Island,Q2,,01-01-2024,,1,1,1
,"Asylum claimants, protected persons and related groups with work and study permits",,2024-01-01QQ2,Prince Edward Island,Q2,,01-01-2024,,7,7,7
,"Asylum claimants, protected persons and related groups without work or study permits",,2024-01-01QQ2,Prince Edward Island,Q2,,01-01-2024,,7,7,7
,"Total, permit holders and their family members",,2024-01-01QQ2,Prince Edward Island,Q2,,01-01-2024,,10767,10767,10767
,Work permit holders only,,2024-01-01QQ2,Prince Edward Island,Q2,,01-01-2024,,5547,5547,5547
,Study permit holders only,,2024-01-01QQ2,Prince Edward Island,Q2,,01-01-2024,,4024,4024,4024
,Work and study permit holders,,2024-01-01QQ2,Prince Edward Island,Q2,,01-01-2024,,889,889,889
,Other,,2024-01-01QQ2,Prince Edward Island,Q2,,01-01-2024,,307,307,307
,"Total, non-permanent residents","Total, non-permanent residents",2024-01-01QQ2,Nova Scotia,Q2,,01-01-2024,,52154,52154,52154
,"Total, asylum claimants, protected persons and related groups ",,2024-01-01QQ2,Nova Scotia,Q2,,01-01-2024,,419,419,419
,"Asylum claimants, protected persons and related groups with work permit only",,2024-01-01QQ2,Nova Scotia,Q2,,01-01-2024,,255,255,255
,"Asylum claimants, protected persons and related groups with study permit only",,2024-01-01QQ2,Nova Scotia,Q2,,01-01-2024,,6,6,6
,"Asylum claimants, protected persons and related groups with work and study permits",,2024-01-01QQ2,Nova Scotia,Q2,,01-01-2024,,41,41,41
,"Asylum claimants, protected persons and related groups without work or study permits",,2024-01-01QQ2,Nova Scotia,Q2,,01-01-2024,,117,117,117
,"Total, permit holders and their family members",,2024-01-01QQ2,Nova Scotia,Q2,,01-01-2024,,51735,51735,51735
,Work permit holders only,,2024-01-01QQ2,Nova Scotia,Q2,,01-01-2024,,24671,24671,24671
,Study permit holders only,,2024-01-01QQ2,Nova Scotia,Q2,,01-01-2024,,14353,14353,14353
,Work and study permit holders,,2024-01-01QQ2,Nova Scotia,Q2,,01-01-2024,,10344,10344,10344
,Other,,2024-01-01QQ2,Nova Scotia,Q2,,01-01-2024,,2367,2367,2367
,"Total, non-permanent residents",,2024-01-01QQ2,New Brunswick,Q2,,01-01-2024,,33596,33596,33596
,"Total, asylum claimants, protected persons and related groups ",,2024-01-01QQ2,New Brunswick,Q2,,01-01-2024,,312,312,312
,"Asylum claimants, protected persons and related groups with work permit only",,2024-01-01QQ2,New Brunswick,Q2,,01-01-2024,,195,195,195
,"Asylum claimants, protected persons and related groups with study permit only",,2024-01-01QQ2,New Brunswick,Q2,,01-01-2024,,11,11,11
,"Asylum claimants, protected persons and related groups with work and study permits",,2024-01-01QQ2,New Brunswick,Q2,,01-01-2024,,18,18,18
,"Asylum claimants, protected persons and related groups without work or study permits",,2024-01-01QQ2,New Brunswick,Q2,,01-01-2024,,88,88,88
,"Total, permit holders and their family members",,2024-01-01QQ2,New Brunswick,Q2,,01-01-2024,,33284,33284,33284
,Work permit holders only,,2024-01-01QQ2,New Brunswick,Q2,,01-01-2024,,16814,16814,16814
,Study permit holders only,,2024-01-01QQ2,New Brunswick,Q2,,01-01-2024,,8552,8552,8552
,Work and study permit holders,,2024-01-01QQ2,New Brunswick,Q2,,01-01-2024,,6338,6338,6338
,Other,,2024-01-01QQ2,New Brunswick,Q2,,01-01-2024,,1580,1580,1580
,"Total, non-permanent residents","Total, non-permanent residents",2024-01-01QQ2,Quebec,Q2,,01-01-2024,,597140,597140,597140
,"Total, asylum claimants, protected persons and related groups ","Total, asylum claimants, protected persons and related groups ",2024-01-01QQ2,Quebec,Q2,,01-01-2024,,189962,189962,189962
,"Asylum claimants, protected persons and related groups with work permit only","Asylum claimants, protected persons and related groups with work permit only",2024-01-01QQ2,Quebec,Q2,,01-01-2024,,119744,119744,119744
,"Asylum claimants, protected persons and related groups with study permit only",,2024-01-01QQ2,Quebec,Q2,,01-01-2024,,1214,1214,1214
,"Asylum claimants, protected persons and related groups with work and study permits",,2024-01-01QQ2,Quebec,Q2,,01-01-2024,,4050,4050,4050
,"Asylum claimants, protected persons and related groups without work or study permits","Asylum claimants, protected persons and related groups without work or study permits",2024-01-01QQ2,Quebec,Q2,,01-01-2024,,64954,64954,64954
,"Total, permit holders and their family members","Total, permit holders and their family members",2024-01-01QQ2,Quebec,Q2,,01-01-2024,,407178,407178,407178
,Work permit holders only,Work permit holders only,2024-01-01QQ2,Quebec,Q2,,01-01-2024,,255842,255842,255842
,Study permit holders only,Study permit holders only,2024-01-01QQ2,Quebec,Q2,,01-01-2024,,71969,71969,71969
,Work and study permit holders,Work and study permit holders,2024-01-01QQ2,Quebec,Q2,,01-01-2024,,52799,52799,52799
,Other,,2024-01-01QQ2,Quebec,Q2,,01-01-2024,,26568,26568,26568
,"Total, non-permanent residents","Total, non-permanent residents",2024-01-01QQ2,Manitoba,Q2,,01-01-2024,,74974,74974,74974
,"Total, asylum claimants, protected persons and related groups ",,2024-01-01QQ2,Manitoba,Q2,,01-01-2024,,2155,2155,2155
,"Asylum claimants, protected persons and related groups with work permit only",,2024-01-01QQ2,Manitoba,Q2,,01-01-2024,,1355,1355,1355
,"Asylum claimants, protected persons and related groups with study permit only",,2024-01-01QQ2,Manitoba,Q2,,01-01-2024,,22,22,22
,"Asylum claimants, protected persons and related groups with work and study permits",,2024-01-01QQ2,Manitoba,Q2,,01-01-2024,,86,86,86
,"Asylum claimants, protected persons and related groups without work or study permits",,2024-01-01QQ2,Manitoba,Q2,,01-01-2024,,692,692,692
,"Total, permit holders and their family members","Total, permit holders and their family members",2024-01-01QQ2,Manitoba,Q2,,01-01-2024,,72819,72819,72819
,Work permit holders only,,2024-01-01QQ2,Manitoba,Q2,,01-01-2024,,42488,42488,42488
,Study permit holders only,,2024-01-01QQ2,Manitoba,Q2,,01-01-2024,,19225,19225,19225
,Work and study permit holders,,2024-01-01QQ2,Manitoba,Q2,,01-01-2024,,8795,8795,8795
,Other,,2024-01-01QQ2,Manitoba,Q2,,01-01-2024,,2311,2311,2311
,"Total, non-permanent residents",,2024-01-01QQ2,Saskatchewan,Q2,,01-01-2024,,39514,39514,39514
,"Total, asylum claimants, protected persons and related groups ",,2024-01-01QQ2,Saskatchewan,Q2,,01-01-2024,,450,450,450
,"Asylum claimants, protected persons and related groups with work permit only",,2024-01-01QQ2,Saskatchewan,Q2,,01-01-2024,,214,214,214
,"Asylum claimants, protected persons and related groups with study permit only",,2024-01-01QQ2,Saskatchewan,Q2,,01-01-2024,,13,13,13
,"Asylum claimants, protected persons and related groups with work and study permits",,2024-01-01QQ2,Saskatchewan,Q2,,01-01-2024,,26,26,26
,"Asylum claimants, protected persons and related groups without work or study permits",,2024-01-01QQ2,Saskatchewan,Q2,,01-01-2024,,197,197,197
,"Total, permit holders and their family members",,2024-01-01QQ2,Saskatchewan,Q2,,01-01-2024,,39064,39064,39064
,Work permit holders only,,2024-01-01QQ2,Saskatchewan,Q2,,01-01-2024,,20513,20513,20513
,Study permit holders only,,2024-01-01QQ2,Saskatchewan,Q2,,01-01-2024,,12332,12332,12332
,Work and study permit holders,,2024-01-01QQ2,Saskatchewan,Q2,,01-01-2024,,4310,4310,4310
,Other,,2024-01-01QQ2,Saskatchewan,Q2,,01-01-2024,,1909,1909,1909
,"Total, non-permanent residents",,2024-01-01QQ2,Yukon,Q2,,01-01-2024,,1688,1688,1688
,"Total, asylum claimants, protected persons and related groups ",,2024-01-01QQ2,Yukon,Q2,,01-01-2024,,6,6,6
,"Asylum claimants, protected persons and related groups with work permit only",,2024-01-01QQ2,Yukon,Q2,,01-01-2024,,2,2,2
,"Asylum claimants, protected persons and related groups with study permit only",,2024-01-01QQ2,Yukon,Q2,,01-01-2024,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2024-01-01QQ2,Yukon,Q2,,01-01-2024,,0,0,0
